OID,FID_,X,Y,BCE_Manuka
183,183,1759593.071235972,5911167.616299151,0.182800002
184,184,1759624.738331056,5911166.128487087,0.322871158
185,185,1752495.476543016,5911268.367394781,0.083944443
186,186,1750710.992171993,5911292.530761497,-0.394352323
187,187,1759132.422054792,5911149.625080921,0.663384116
188,188,1759210.005411952,5911135.3539091,-0.687818191
189,189,1750734.883564482,5911284.654102063,-0.382591296
190,190,1750489.003112717,5911322.674565683,-0.010489539
191,191,1758813.308750786,5911123.237487933,-9999.0
192,192,1750773.863769456,5911269.144007807,-0.394405401
193,193,1758775.658378012,5911113.153326735,-9999.0
194,194,1750302.498762294,5911257.42674399,-0.276074998
195,195,1750816.684520302,5911249.914371216,-0.401298694
196,196,1750858.991273054,5911248.140329109,-0.363532119
197,197,1750894.563130461,5911246.923804333,-0.381970947
198,198,1750946.568620101,5911245.999045144,-0.362712503
199,199,1755001.747234281,5911176.498484047,-0.072534705
200,200,1755038.799138099,5911172.124258248,-0.122803921
201,201,1758839.466186443,5911101.262671177,0.464000049
202,202,1755566.74894135,5911152.824407684,-0.304214291
203,203,1751070.227370558,5911223.860727867,-0.745066664
204,204,1755690.637915083,5911146.150589445,-0.060648573
205,205,1755822.753389442,5911137.958210757,-0.907333304
206,206,1755726.40178057,5911129.957582785,-0.291981479
207,207,1755774.537944113,5911125.992310584,-0.278343748
208,208,1755786.383557176,5911118.685644316,-0.791833359
209,209,1752527.312297677,5911168.786922588,-0.051238872
210,210,1752564.798194106,5911117.577036644,0.014982294
211,211,1752572.440962603,5911097.500358406,0.071363636
212,212,1754848.407261629,5911040.521903873,-0.378071362
213,213,1754796.092695858,5911017.163571699,-0.198475005
214,214,1754782.402711789,5910997.877095284,0.027571429
215,215,1749727.238106734,5911084.770546168,-0.38766624
216,216,1749663.809949288,5911047.321938509,-0.273638595
217,217,1753724.720297455,5910967.995330348,0.956517403
218,218,1749636.951878892,5911026.360405269,-0.342147996
219,219,1754678.96040486,5910907.156146855,-0.656720616
220,220,1754715.794974719,5910908.044220439,-0.269647047
221,221,1753737.667783704,5910916.962383011,0.52839284
222,222,1754613.126934389,5910905.553993797,-0.193645681
223,223,1753761.631599814,5910896.588873908,0.442142854
224,224,1759369.745083453,5910782.978967231,-0.005200001
225,225,1753755.971314414,5910879.80905751,0.375730337
226,226,1754425.822586328,5910906.343323638,-0.026877579
227,227,1759397.993020133,5910773.062814997,-0.302158882
228,228,1753049.037299983,5910879.557637991,0.233660715
229,229,1759318.727681749,5910800.664587364,0.341853713
230,230,1759377.582572271,5910763.194429062,2.106891897
231,231,1753040.526830941,5910869.33896412,-0.078054545
232,232,1754360.789080387,5910845.634139939,-0.497012512
233,233,1759233.014525881,5910755.836155173,0.123075468
234,234,1759265.009629903,5910754.833458601,0.118490909
235,235,1759202.267452867,5910746.98123141,0.143957056
236,236,1759401.039709919,5910742.56089704,0.075341773
237,237,1753707.25584419,5910844.245979764,0.274919786
238,238,1754344.425187868,5910825.992356434,-0.203412506
