OID,FID_,X,Y,BCE_Opua_I
123,123,1701223.489888759,6097695.345979418,-9999.0
124,124,1701657.848582963,6097696.134881048,-0.254953523
125,125,1701681.284029439,6097690.405535189,-0.428948758
126,126,1701640.312297631,6097680.902629015,-9999.0
127,127,1701627.942283246,6097671.077592393,-9999.0
128,128,1701607.400411515,6097661.34451983,-0.029715722
129,129,1701329.332744589,6097644.541445855,0.174333279
130,130,1701353.856490031,6097644.992708805,-9999.0
131,131,1701558.834947216,6097649.653396712,-0.349128796
132,132,1701745.822946953,6097630.096874942,-9999.0
133,133,1701844.078876199,6097602.214128527,-0.494666701
134,134,1701532.794361936,6097582.673902591,-9999.0
135,135,1701816.668704878,6097596.986547654,-9999.0
136,136,1701459.298716381,6097573.331599594,-9999.0
137,137,1701876.048664121,6097590.187067715,-0.315045753
138,138,1701908.635430626,6097558.305818071,-0.440538498
139,139,1698444.413794063,6097695.20009745,1.530549957
140,140,1701695.781638306,6097540.982003083,-9999.0
141,141,1698388.530946876,6097576.312829101,0.974751202
142,142,1701932.34906577,6097527.705089274,-0.402904801
143,143,1701794.376743736,6097519.737751056,-9999.0
144,144,1701719.840933373,6097470.960774109,-9999.0
145,145,1701711.38973223,6097460.887351226,-9999.0
146,146,1701955.743718549,6097457.727696544,-9999.0
147,147,1701809.062833524,6097440.061986324,-9999.0
148,148,1701698.851555291,6097436.117851376,-9999.0
149,149,1701764.269360414,6097401.086099089,-9999.0
150,150,1701964.500482433,6097401.5673329,-9999.0
151,151,1698352.357892532,6097489.413394611,0.311308911
152,152,1701971.983910734,6097378.23272761,-9999.0
153,153,1698344.05469251,6097388.555013876,-9999.0
154,154,1701980.161425461,6097353.229543447,-9999.0
155,155,1696491.683881672,6097387.559058704,1.218752062
156,156,1696511.444746736,6097379.227090757,1.082934771
157,157,1701907.959372872,6097337.940133177,-9999.0
158,158,1696319.083406188,6097386.27142892,0.769967861
159,159,1701922.110360569,6097304.063631551,-9999.0
160,160,1701957.378173565,6097321.090038877,-9999.0
161,161,1696185.968317125,6097349.77244817,0.827770712
162,162,1698513.867435542,6097277.137662332,-9999.0
163,163,1698429.780760447,6097334.921147242,-9999.0
164,164,1698521.930161095,6097267.085466348,-9999.0
165,165,1698515.680714183,6097259.255065953,-9999.0
166,166,1701829.633015786,6097201.010983729,-9999.0
167,167,1701846.55575971,6097174.812714206,-9999.0
