OID,FID_,X,Y,BCE_Mahura
365,365,1751730.084706897,5963141.335290273,0.724237298
366,366,1756927.295870464,5963046.933079756,0.789411759
367,367,1756901.754931443,5963039.618340992,0.679557499
368,368,1756890.846061402,5963030.170929698,0.702799991
369,369,1753761.467587706,5963095.483377379,-0.54256035
370,370,1756372.739653717,5963040.087803161,0.779494945
371,371,1756873.96565646,5963019.781631542,0.588999985
372,372,1756917.118398558,5963019.548419984,0.634132244
373,373,1753735.043398174,5963066.26777312,-0.292249992
374,374,1756898.520298171,5963009.366430768,0.473855417
375,375,1751657.504482844,5963093.036811923,1.16179997
376,376,1756885.794439039,5962999.915402276,0.387599998
377,377,1753715.788065139,5963040.026869104,-0.589399977
378,378,1756398.904929703,5962988.522963251,0.765384631
379,379,1756845.814912145,5962996.299926439,0.521067417
380,380,1753686.03668882,5963027.264590329,-0.402999993
381,381,1753702.148622839,5963027.704708519,-0.516647029
382,382,1756712.554077097,5962966.849474765,0.086666675
383,383,1756728.662249274,5962966.97116907,-0.269999998
384,384,1756817.134420702,5962970.767366495,0.556785714
385,385,1756857.381030609,5962981.861425542,0.442987421
386,386,1756418.758003862,5962973.209780575,0.729124989
387,387,1756788.483363452,5962965.689907128,0.561578945
388,388,1756833.759711212,5962963.11495703,0.186949151
389,389,1755681.618162945,5962961.810212564,-9999.0
390,390,1756805.629346329,5962945.764066696,0.439999998
391,391,1752039.214473934,5963016.542850071,0.675189868
392,392,1753658.968067679,5963006.783005497,-0.145793764
393,393,1755697.683192143,5962950.62344224,-9999.0
394,394,1756510.708585826,5962937.3788381,0.512407414
395,395,1756526.802875538,5962937.073371177,0.362800005
396,396,1756542.906597332,5962936.795164173,0.349245283
397,397,1756783.473171762,5962934.95069466,0.634827587
398,398,1756448.707662255,5962935.328685245,0.720872477
399,399,1756607.119658008,5962940.522057133,0.44954843
400,400,1756756.402856464,5962923.666381372,0.397
401,401,1756437.72269194,5962917.835248846,0.771851871
402,402,1756563.099711364,5962915.102015636,0.821559631
403,403,1756679.373314676,5962913.654974381,0.360124995
404,404,1752115.157470331,5962985.298951087,0.813625021
405,405,1752718.704841231,5962974.846566747,0.499821423
406,406,1752758.921684755,5962963.23825391,0.648301883
407,407,1756518.022326243,5962896.64314262,0.675249982
408,408,1756651.884842202,5962899.896289574,0.552107609
409,409,1756389.209216195,5962888.806912939,0.475263161
410,410,1756485.643856261,5962887.26094956,0.702000003
411,411,1756533.353649646,5962886.396163589,0.761730783
412,412,1756638.583524472,5962884.487842721,0.530379736
413,413,1756473.389076026,5962877.51398168,0.553773579
414,414,1756614.073631738,5962864.994318699,0.611124999
415,415,1756444.834470682,5962858.119489972,0.48670885
416,416,1756621.306754533,5962855.437728574,0.714999984
417,417,1756565.046989278,5962860.877177929,0.695429099
418,418,1753731.322054945,5962886.982973848,-0.330320001
419,419,1753702.716952006,5962888.366969561,-0.129381818
420,420,1756598.869641671,5962833.639048733,0.615382043
421,421,1753775.180074106,5962870.795187163,0.173999995
422,422,1756395.655770392,5962809.138967533,0.615499976
423,423,1756386.906068666,5962779.591501132,0.652982438
424,424,1751637.617063061,5962844.166844475,1.091999984
425,425,1751669.814131102,5962843.601334193,5.066956448
426,426,1753814.645566836,5962801.308588862,-9999.0
427,427,1756386.778142181,5962759.891960775,0.992093027
428,428,1751657.503880296,5962833.885611461,4.34873416
429,429,1753815.265756427,5962785.497267542,0.138666662
430,430,1755396.119226502,5962757.604172179,-9999.0
431,431,1753808.666245233,5962739.135451572,-0.455113504
432,432,1755386.565712254,5962697.760969657,-9999.0
433,433,1755395.409313213,5962677.691680624,-9999.0
434,434,1755805.570748991,5962670.2999697,-9999.0
435,435,1755378.565352993,5962667.997978424,-9999.0
436,436,1755815.434645937,5962660.124883381,-9999.0
437,437,1755370.157460651,5962648.211304291,-9999.0
438,438,1755820.753889569,5962640.292052635,-9999.0
439,439,1755844.473402649,5962639.66274026,-9999.0
440,440,1753825.123958828,5962656.91197752,0.116214284
441,441,1755361.749604084,5962628.424622659,-9999.0
442,442,1752520.220359326,5962669.120112853,0.554250004
443,443,1753941.088194668,5962644.032962021,0.356493593
444,444,1753890.95195104,5962646.725989644,0.193920635
445,445,1753952.76534318,5962634.538550495,-0.031210533
