FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
118,1752480.574551179539412,5911321.013665358535945,0.174771717000000
119,1756065.038420097436756,5911252.767986929975450,-0.192746831000000
120,1761115.310740529792383,5911163.209741782397032,-0.236638158000000
121,1761172.616223253309727,5911164.116165002807975,0.581188907000000
122,1751410.364984197076410,5911329.743236597627401,-0.524561633000000
123,1759277.223545781336725,5911183.867366948164999,0.153187502000000
124,1759579.682743812445551,5911177.380723350681365,0.130905513000000
125,1750526.841282456414774,5911329.957510302774608,
126,1750552.359525968087837,5911332.662320939823985,0.152666674000000
127,1750601.353836573194712,5911336.018437804654241,0.009749998000000
128,1750647.693342889426276,5911329.567986942827702,0.105363636000000
129,1759652.994264364475384,5911165.386834895238280,0.037470851000000
130,1762699.091321504209191,5911125.167601557448506,0.094320711000000
131,1750492.733967243693769,5911323.285366585478187,0.025030770000000
132,1752436.418388750171289,5911289.748955348506570,-0.758822426000000
133,1759351.814436879940331,5911170.223649655468762,0.118650304000000
134,1759596.884735575877130,5911157.573822894133627,0.117335439000000
135,1752503.758249306352809,5911291.561286053620279,0.493175670000000
136,1759552.377412444679067,5911167.630500537343323,0.028158740000000
137,1759625.573183604748920,5911143.756552395410836,-0.040071272000000
138,1752472.573649928672239,5911268.465522692538798,-0.194611513000000
139,1758670.058118402259424,5911156.747313308529556,-0.333153523000000
140,1750537.817678052466363,5911299.817998436279595,-0.260173267000000
141,1758736.973617019364610,5911128.894342037849128,
142,1759564.564402710646391,5911118.884720172733068,-0.071851844000000
143,1750486.714870635885745,5911274.302341523580253,-0.674425932000000
144,1750797.316811838187277,5911269.987093978561461,-0.121031094000000
145,1759141.598656264599413,5911137.835413966327906,1.457956903000000
146,1762709.026669865706936,5911074.602132376283407,0.087758865000000
147,1750690.722602482186630,5911295.697380785830319,-0.327532699000000
148,1755846.664789735572413,5911162.827686401084065,-0.664399981000000
149,1750830.092346566496417,5911257.883753097616136,-0.155114506000000
150,1755710.697947709355503,5911157.803754908032715,0.106995418000000
151,1750385.921572462189943,5911279.696539143100381,-0.483553403000000
152,1750798.376364466734231,5911238.662355505861342,-0.513176479000000
153,1750887.294766461709514,5911245.069957660511136,-0.345899261000000
154,1750966.381416908698156,5911234.949328242801130,-0.669744689000000
155,1755602.254254872445017,5911149.768116783350706,-0.489250012000000
156,1755696.532057238975540,5911159.284487255848944,0.103996290000000
157,1755822.994073717622086,5911148.945475909858942,-0.580478284000000
158,1752494.224072260316461,5911198.600993275642395,-0.344851852000000
159,1755057.815608544275165,5911163.015727278776467,-0.148226978000000
