OID,FID_,X,Y,BCE_Waitem
484,484,1747085.618538349,5929816.251641427,0.503500003
485,485,1747122.003081397,5929841.277765375,1.2906633
486,486,1748901.026529104,5929807.376069413,0.409750168
487,487,1745675.45780931,5929830.889219949,1.641480035
488,488,1747078.531817189,5929805.826978207,0.47137778
489,489,1745888.55442149,5929840.746476734,0.688133772
490,490,1746993.017244387,5929814.865603069,0.889824994
491,491,1747027.444980217,5929799.903728554,0.629298778
492,492,1747100.818848777,5929796.595776094,0.998381825
493,493,1743068.248104127,5929854.924936582,0.587000005
494,494,1745681.000953484,5929810.76058175,1.140276617
495,495,1747048.256888566,5929787.33476113,0.47659482
496,496,1748876.382857089,5929768.164147577,0.419133331
497,497,1749249.592042867,5929753.494244098,4.415127033
498,498,1743078.181467165,5929844.386265649,0.566684222
499,499,1746996.201313513,5929783.24216751,0.744391308
500,500,1747084.439179607,5929776.939770892,0.537185197
501,501,1743087.208043932,5929824.700790396,0.418612502
502,502,1743187.446661675,5929823.747891956,1.017117617
503,503,1747003.91420646,5929758.388017124,0.710272741
504,504,1748840.095121793,5929742.210190931,0.45566899
505,505,1749229.190568054,5929724.600697501,1.674606617
506,506,1743203.303631285,5929812.78631949,1.058649958
507,507,1747084.667323283,5929746.827505895,0.221519998
508,508,1748816.008504195,5929716.836235748,0.443625004
509,509,1748863.806814151,5929716.33038926,0.889243246
510,510,1742739.619545888,5929809.387763633,-0.202555559
511,511,1748807.816649696,5929707.00971759,0.17825
512,512,1749224.576194112,5929701.613086947,0.719452392
513,513,1748791.606773116,5929697.323022035,0.224575
514,514,1746994.432134033,5929737.182119602,1.063394289
515,515,1743219.639801563,5929787.718600814,1.109864797
516,516,1748811.737696313,5929677.618397442,1.360800009
517,517,1743234.540424043,5929762.41836975,1.123469101
518,518,1747025.008584773,5929705.22664175,3.251407428
519,519,1742913.651172935,5929757.824795987,0.025174999
520,520,1747091.156829794,5929691.885993551,0.084612499
521,521,1742841.321895811,5929749.065833348,0.0452
522,522,1742937.538501288,5929747.456354709,-0.305166629
523,523,1743253.707907687,5929746.226787588,1.147061621
524,524,1745639.803459624,5929701.565921332,0.742844144
525,525,1747040.961468606,5929686.146755913,3.444891561
526,526,1747220.021402571,5929674.712411327,0.490239139
527,527,1748771.687298241,5929668.370155974,0.407076493
528,528,1742624.08366744,5929742.727704225,-0.033458331
529,529,1742809.083073753,5929739.636007202,-0.016525001
530,530,1742953.407725248,5929737.221686867,-9999.0
