OID,FID_,X,Y,BCE_Kawhia
54,54,1761041.669795214,5787617.269043475,1.264196556
55,55,1760775.691274178,5787592.999397224,1.173635621
56,56,1762712.146550459,5787554.401271416,0.532698118
57,57,1760764.973822437,5787582.839607353,0.931600008
58,58,1762684.41245011,5787539.788343039,0.700532463
59,59,1760740.049148298,5787566.528818755,0.835847925
60,60,1761024.147727171,5787557.781834316,1.129212783
61,61,1762696.093665527,5787524.389084295,0.592944437
62,62,1760671.170783648,5787550.411400114,0.916992714
63,63,1762768.94441577,5787483.25387996,0.235223077
64,64,1761005.48872591,5787512.729994075,1.061576074
65,65,1762797.070026964,5787462.955576569,-0.041148147
66,66,1760983.90465326,5787490.707899126,1.041125697
67,67,1760953.910749319,5787478.859180634,1.077819665
68,68,1763132.083773128,5787426.720207736,0.71562615
69,69,1763238.652013252,5787424.003324828,1.11686002
70,70,1761432.669909409,5787449.982828751,0.952912512
71,71,1760486.95169492,5787454.262760996,0.911348624
72,72,1762804.225825578,5787400.391710727,0.492501961
73,73,1765617.43360692,5787296.513029518,1.677239154
74,74,1760453.80638251,5787399.4964333,0.955133617
75,75,1761406.359497697,5787405.735214775,2.398118492
76,76,1763105.871771888,5787322.022226241,0.813798319
77,77,1763234.526601773,5787349.259728841,1.518234368
78,78,1760788.631807636,5787356.583385384,2.208705122
79,79,1761384.930712441,5787349.280875682,3.115071414
80,80,1760899.159599859,5787344.734542683,2.684544921
81,81,1765600.154905489,5787236.774032173,1.60007499
82,82,1765586.164682323,5787253.098402473,0.975253318
83,83,1763045.540645851,5787268.517153972,-0.088528302
84,84,1760983.434346396,5787289.544979965,0.972846772
85,85,1763061.186686145,5787278.674079789,0.46667857
86,86,1760951.303971573,5787279.998316694,0.958223076
87,87,1762850.832237068,5787251.665727088,0.801761992
88,88,1765232.421600907,5787183.057298701,1.49585952
89,89,1763068.638736655,5787217.7370478,1.605999982
90,90,1765552.086489975,5787184.480804936,1.130625912
91,91,1763067.948747463,5787198.054966198,1.624649984
92,92,1765314.212077193,5787143.34789749,1.753979992
93,93,1765497.227355059,5787148.996406253,0.907743084
94,94,1765368.092554898,5787136.1238362,1.04891354
95,95,1760477.364364301,5787219.742870096,1.008783321
96,96,1763059.744092661,5787182.117874241,0.142159085
97,97,1763074.86380267,5787172.596739013,3.784337184
98,98,1764580.44231677,5787117.805020859,1.179733373
99,99,1764596.207859993,5787117.486789081,1.093012635
100,100,1765636.579708031,5787096.626939449,0.544964281
101,101,1760458.59697103,5787199.646025162,0.926818679
102,102,1764459.405735984,5787111.936719546,0.618326279
103,103,1765166.510670589,5787131.000148418,0.732034396
104,104,1760438.100244977,5787179.742926908,0.863046302
105,105,1764666.750186963,5787096.117618317,0.688037496
106,106,1765036.664916168,5787088.638782832,0.556925928
107,107,1765008.645364979,5787079.26582701,0.487754125
108,108,1764396.467707902,5787090.016969494,0.497621044
109,109,1764981.45530348,5787059.838678593,0.425054054
110,110,1760401.377591667,5787131.487523663,0.795678568
111,111,1764935.404477567,5787029.994945955,0.200862948
112,112,1760384.679100401,5787092.446715823,0.838500001
113,113,1763126.783798177,5787036.588926869,1.566593469
114,114,1763103.419165221,5787008.07883885,0.313452827
115,115,1762937.839970563,5787001.209203681,0.545861935
116,116,1765515.100256381,5786939.533802424,0.869226408
117,117,1762920.90239344,5786971.63077431,-0.32176471
118,118,1764271.561164825,5786988.123387715,0.288156111
119,119,1760382.900274076,5787002.005116433,0.911916658
120,120,1764157.621030225,5786918.185362159,0.4974351
121,121,1765439.211637884,5786886.908900833,1.017200933
122,122,1762905.064687667,5786939.536973688,-0.449544742
123,123,1762991.224718848,5786910.391293375,-0.363612487
124,124,1764134.036293134,5786887.67316019,0.283981819
125,125,1761515.599908208,5786939.029056827,1.756685507
126,126,1762998.907953843,5786900.265359192,1.945712508
127,127,1762888.552811301,5786902.470821641,2.25426521
128,128,1762947.47241232,5786891.321152619,0.722980136
129,129,1762974.286514979,5786899.185243995,0.961690104
130,130,1763100.380858875,5786888.691450844,1.862033335
131,131,1764117.869913543,5786868.053773152,0.233374997
132,132,1762880.272019257,5786882.691587701,-0.560199998
133,133,1765386.024557079,5786836.469732295,0.719532677
134,134,1762887.955357791,5786872.565761241,0.468173334
135,135,1762930.671832183,5786879.282882036,1.718140339
136,136,1762868.668774547,5786865.952241298,-0.819000006
137,137,1762903.52114778,5786862.282435768,2.216783776
138,138,1763108.302188299,5786857.980499901,2.784681804
139,139,1765362.958125092,5786817.757004895,0.69467399
140,140,1761491.590528086,5786898.796589427,1.397832001
141,141,1764074.794194445,5786820.977200628,0.208921454
142,142,1761475.647901984,5786840.973058502,2.132421076
143,143,1767458.784527105,5786732.146980689,0.368145108
144,144,1767292.845469064,5786713.564063329,0.201759488
145,145,1767439.098816976,5786711.146036587,-0.27018868
146,146,1764002.440596578,5786779.727394179,0.563404089
147,147,1765038.107005545,5786749.753449848,0.38951852
148,148,1765203.792940065,5786746.190055961,0.773374991
149,149,1767308.30355546,5786698.28792984,0.672936306
150,150,1762827.376349058,5786803.481261664,-0.334601746
151,151,1765021.938606558,5786730.135788357,0.402690899
152,152,1767331.633177057,5786687.457394481,1.754397369
153,153,1761460.54966173,5786816.711933748,1.955004858
154,154,1763973.733806321,5786751.077217075,0.767919144
155,155,1767488.933225631,5786669.855317038,0.099963635
156,156,1760473.721393568,5786800.566794244,0.863709113
157,157,1762790.82219878,5786755.045610289,0.190127274
158,158,1764948.98124207,5786692.227741763,0.469983881
159,159,1767472.723799206,5786640.789818132,-0.330923066
160,160,1762772.132975129,5786729.734829845,0.310270268
161,161,1760457.016981167,5786761.214616723,0.818624998
162,162,1764902.446028821,5786662.537945974,0.448287673
163,163,1762743.656794442,5786704.267247724,0.468696351
164,164,1764894.362144925,5786652.729121398,0.44506329
165,165,1763928.487858564,5786700.191270001,0.454026457
166,166,1762716.323304541,5786679.299258382,0.606448784
167,167,1767442.774703624,5786583.659810866,-0.215448097
168,168,1762702.317486024,5786666.645928285,0.664203698
169,169,1767463.963677911,5786570.440404039,0.828320003
170,170,1762686.30381796,5786646.501464869,0.80911539
171,171,1762678.237155925,5786637.417261222,0.918481016
172,172,1767434.97868987,5786558.207561773,0.018483635
173,173,1767346.78632601,5786584.170211142,1.169037344
174,174,1760483.989362319,5786662.624006114,1.019054849
175,175,1763818.734141872,5786602.543612471,0.020643486
176,176,1767397.921205552,5786498.398258508,0.943139033
177,177,1763721.355692056,5786544.958447634,0.050451157
178,178,1763685.364182253,5786527.507107967,0.076285713
179,179,1763653.435307084,5786508.203346354,0.015334432
180,180,1763617.565451269,5786488.978583192,-0.004477124
181,181,1763593.719013997,5786479.484761653,-0.038038461
182,182,1763570.305539583,5786469.306994843,-0.050457944
183,183,1763537.711303034,5786461.33897065,0.10925
