OID,FID_,X,Y,BCE_Kaipar
3807,3807,1716597.715678328,5995590.940377001,-0.468760006
3808,3808,1717324.224956785,5995581.930544499,1.479666647
3809,3809,1717664.056895044,5995581.086366342,1.739972726
3810,3810,1722551.450170455,5995515.354306552,1.568564286
3811,3811,1722789.078518432,5995570.232600128,0.412149564
3812,3812,1722833.954456529,5995505.394169726,0.628099993
3813,3813,1724336.505315818,5995486.353307533,4.176186085
3814,3814,1724740.676272242,5995478.499214451,1.074230803
3815,3815,1692579.586690101,5995874.60581728,1.681993033
3816,3816,1717566.283633532,5995568.180972475,1.408696405
3817,3817,1717602.980216079,5995648.771014787,1.490280203
3818,3818,1717651.275674096,5995567.184845578,1.790547838
3819,3819,1722591.863587182,5995499.384237883,1.354661943
